id	name	namespace	T4_mean	T7_mean	T4A	T4B	T4C	T7A	T7B	T7C
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	0.1018535	0.32812399999999997	0.0528417	0.212081	0.0406378	0.367933	0.457588	0.158851
GO:0000030	mannosyltransferase activity	molecular_function	20.084733333333332	3.225896666666667	17.4859	20.2827	22.4856	2.75771	4.38419	2.53579
GO:0000034	adenine deaminase activity	molecular_function	0.15428346666666667	0.18823033333333333	0.308642	0.103349	0.0508594	0.273796	0.127232	0.163663
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	501.2916666666667	84.0014	557.491	408.492	537.892	71.8587	136.691	43.4545
GO:0000049	tRNA binding	molecular_function	2258.83	781.678	2207.09	2185.47	2383.93	722.889	984.375	637.77
GO:0000062	fatty-acyl-CoA binding	molecular_function	1e-5	0.042342733333333334	1e-5	1e-5	1e-5	0.0611642	1e-5	0.065864
GO:0000104	succinate dehydrogenase activity	molecular_function	0.21925003333333332	0.1444026	0.0973401	0.260999	0.299411	0.13577	0.0702438	0.227194
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	58.88336666666667	14.885376666666668	51.9861	65.3597	59.3043	12.5845	22.2865	9.78513
GO:0000150	recombinase activity	molecular_function	18.8579	63.84827333333334	17.1905	20.0455	19.3377	78.5557	110.849	2.14012
GO:0000155	phosphorelay sensor kinase activity	molecular_function	290.40766666666667	109.69836666666667	267.332	298.096	305.795	124.388	132.911	71.7961
GO:0000156	phosphorelay response regulator activity	molecular_function	84.4356	7.6632	83.8827	82.5069	86.9172	9.92015	9.1295	3.93995
GO:0000166	nucleotide binding	molecular_function	504.6143333333334	326.58299999999997	472.773	507.807	533.263	300.909	277.657	401.183
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	99.11576666666667	54.80923333333333	97.4708	103.215	96.6615	57.6284	71.3135	35.4858
