id	gos
GO:0000014	GO:0000014
GO:0000030	GO:0000030
GO:0000034	GO:0000034
GO:0000036	GO:0000036
GO:0000049	GO:0000049
GO:0000062	GO:0000062
GO:0000104	GO:0000104
GO:0000107	GO:0000107
GO:0000150	GO:0000150
GO:0000155	GO:0000155
GO:0000156	GO:0000156
GO:0000166	GO:0000166
GO:0000175	GO:0000175
GO:0000179	GO:0000179
GO:0000213	GO:0000213
GO:0000286	GO:0000286
GO:0000287	GO:0000287
GO:0000309	GO:0000309
GO:0000703	GO:0000703
GO:0000774	GO:0000774
GO:0000906	GO:0000906
GO:0000908	GO:0000908
GO:0000986	GO:0000986
GO:0000987	GO:0000987
GO:0001046	GO:0001046
GO:0001047	GO:0001047
GO:0001071	GO:0001071
GO:0001141	GO:0001141
GO:0001671	GO:0001671
GO:0001727	GO:0001727
GO:0002161	GO:0002161
GO:0002935	GO:0002935
GO:0003676	GO:0003676
GO:0003677	GO:0003677
GO:0003678	GO:0003678
GO:0003684	GO:0003684
GO:0003688	GO:0003688
GO:0003689	GO:0003689
GO:0003690	GO:0003690
GO:0003697	GO:0003697
GO:0003700	GO:0003700
GO:0003723	GO:0003723
GO:0003725	GO:0003725
GO:0003729	GO:0003729
GO:0003735	GO:0003735
GO:0003743	GO:0003743
GO:0003746	GO:0003746
GO:0003755	GO:0003755
GO:0003756	GO:0003756
GO:0003774	GO:0003774
GO:0003796	GO:0003796
GO:0003824	GO:0003824
GO:0003825	GO:0003825
GO:0003839	GO:0003839
GO:0003840	GO:0003840
GO:0003841	GO:0003841
GO:0003842	GO:0003842
GO:0003844	GO:0003844
GO:0003848	GO:0003848
GO:0003849	GO:0003849
GO:0003852	GO:0003852
GO:0003855	GO:0003855
GO:0003856	GO:0003856
GO:0003857	GO:0003857
GO:0003861	GO:0003861
GO:0003862	GO:0003862
GO:0003863	GO:0003863
GO:0003864	GO:0003864
GO:0003866	GO:0003866
GO:0003867	GO:0003867
GO:0003871	GO:0003871
GO:0003872	GO:0003872
GO:0003879	GO:0003879
GO:0003882	GO:0003882
GO:0003883	GO:0003883
GO:0003886	GO:0003886
GO:0003887	GO:0003887
GO:0003896	GO:0003896
GO:0003899	GO:0003899
GO:0003904	GO:0003904
GO:0003906	GO:0003906
GO:0003908	GO:0003908
GO:0003909	GO:0003909
GO:0003910	GO:0003910
GO:0003911	GO:0003911
GO:0003917	GO:0003917
GO:0003918	GO:0003918
GO:0003919	GO:0003919
GO:0003922	GO:0003922
GO:0003924	GO:0003924
GO:0003933	GO:0003933
GO:0003934	GO:0003934
GO:0003935	GO:0003935
GO:0003937	GO:0003937
GO:0003938	GO:0003938
GO:0003939	GO:0003939
GO:0003941	GO:0003941
GO:0003942	GO:0003942
GO:0003949	GO:0003949
GO:0003951	GO:0003951
GO:0003952	GO:0003952
GO:0003954	GO:0003954
GO:0003957	GO:0003957
GO:0003960	GO:0003960
GO:0003961	GO:0003961
GO:0003962	GO:0003962
GO:0003963	GO:0003963
GO:0003977	GO:0003977
GO:0003978	GO:0003978
GO:0003979	GO:0003979
GO:0003983	GO:0003983
GO:0003984	GO:0003984
GO:0003985	GO:0003985
GO:0003987	GO:0003987
GO:0003988	GO:0003988
GO:0003989	GO:0003989
GO:0003991	GO:0003991
GO:0003992	GO:0003992
GO:0003993	GO:0003993
GO:0003994	GO:0003994
GO:0003995	GO:0003995
GO:0003999	GO:0003999
GO:0004000	GO:0004000
GO:0004003	GO:0004003
GO:0004004	GO:0004004
GO:0004008	GO:0004008
GO:0004013	GO:0004013
GO:0004014	GO:0004014
GO:0004015	GO:0004015
GO:0004016	GO:0004016
GO:0004017	GO:0004017
GO:0004018	GO:0004018
GO:0004019	GO:0004019
GO:0004020	GO:0004020
GO:0004021	GO:0004021
GO:0004022	GO:0004022
GO:0004029	GO:0004029
GO:0004030	GO:0004030
GO:0004033	GO:0004033
GO:0004034	GO:0004034
GO:0004038	GO:0004038
GO:0004040	GO:0004040
GO:0004042	GO:0004042
GO:0004044	GO:0004044
GO:0004045	GO:0004045
GO:0004047	GO:0004047
GO:0004048	GO:0004048
GO:0004049	GO:0004049
GO:0004055	GO:0004055
GO:0004056	GO:0004056
GO:0004061	GO:0004061
GO:0004065	GO:0004065
GO:0004066	GO:0004066
GO:0004067	GO:0004067
GO:0004068	GO:0004068
GO:0004069	GO:0004069
GO:0004070	GO:0004070
GO:0004071	GO:0004071
GO:0004072	GO:0004072
GO:0004073	GO:0004073
GO:0004075	GO:0004075
GO:0004076	GO:0004076
GO:0004077	GO:0004077
GO:0004088	GO:0004088
GO:0004089	GO:0004089
GO:0004096	GO:0004096
GO:0004106	GO:0004106
GO:0004107	GO:0004107
GO:0004108	GO:0004108
GO:0004109	GO:0004109
GO:0004112	GO:0004112
GO:0004113	GO:0004113
GO:0004121	GO:0004121
GO:0004124	GO:0004124
GO:0004125	GO:0004125
GO:0004126	GO:0004126
GO:0004127	GO:0004127
GO:0004129	GO:0004129
GO:0004130	GO:0004130
GO:0004133	GO:0004133
GO:0004134	GO:0004134
GO:0004135	GO:0004135
GO:0004139	GO:0004139
GO:0004140	GO:0004140
GO:0004141	GO:0004141
GO:0004146	GO:0004146
GO:0004148	GO:0004148
GO:0004149	GO:0004149
GO:0004150	GO:0004150
GO:0004151	GO:0004151
GO:0004152	GO:0004152
GO:0004156	GO:0004156
GO:0004159	GO:0004159
GO:0004160	GO:0004160
GO:0004161	GO:0004161
GO:0004164	GO:0004164
GO:0004165	GO:0004165
GO:0004170	GO:0004170
GO:0004175	GO:0004175
GO:0004176	GO:0004176
GO:0004177	GO:0004177
GO:0004180	GO:0004180
GO:0004181	GO:0004181
GO:0004190	GO:0004190
GO:0004222	GO:0004222
GO:0004252	GO:0004252
GO:0004298	GO:0004298
GO:0004300	GO:0004300
GO:0004309	GO:0004309
GO:0004314	GO:0004314
GO:0004315	GO:0004315
GO:0004316	GO:0004316
GO:0004318	GO:0004318
GO:0004322	GO:0004322
GO:0004324	GO:0004324
GO:0004325	GO:0004325
GO:0004326	GO:0004326
GO:0004329	GO:0004329
GO:0004332	GO:0004332
GO:0004333	GO:0004333
GO:0004337	GO:0004337
GO:0004340	GO:0004340
GO:0004342	GO:0004342
GO:0004345	GO:0004345
GO:0004347	GO:0004347
GO:0004348	GO:0004348
