id	T4A	T4B	T4C	T7A	T7B	T7C
GO:0000014	0.0528417	0.212081	0.0406378	0.367933	0.457588	0.158851
GO:0000030	17.4859	20.2827	22.4856	2.75771	4.38419	2.53579
GO:0000034	0.308642	0.103349	0.0508594	0.273796	0.127232	0.163663
GO:0000036	557.491	408.492	537.892	71.8587	136.691	43.4545
GO:0000049	2207.09	2185.47	2383.93	722.889	984.375	637.77
GO:0000062	1e-05	1e-05	1e-05	0.0611642	1e-05	0.065864
GO:0000104	0.0973401	0.260999	0.299411	0.13577	0.0702438	0.227194
GO:0000107	51.9861	65.3597	59.3043	12.5845	22.2865	9.78513
GO:0000150	17.1905	20.0455	19.3377	78.5557	110.849	2.14012
GO:0000155	267.332	298.096	305.795	124.388	132.911	71.7961
GO:0000156	83.8827	82.5069	86.9172	9.92015	9.1295	3.93995
GO:0000166	472.773	507.807	533.263	300.909	277.657	401.183
GO:0000175	97.4708	103.215	96.6615	57.6284	71.3135	35.4858
GO:0000179	19.7291	19.6073	19.3102	10.0897	12.831	11.6088
GO:0000213	1e-05	0.0597915	0.411078	1e-05	0.514297	0.265668
GO:0000286	0.0743471	0.124727	1e-05	0.103745	0.321908	0.111701
GO:0000287	2674.32	2775.35	2903.56	1421.82	1511.25	795.245
GO:0000309	0.235621	0.109621	1e-05	0.227832	0.235748	1e-05
GO:0000703	1e-05	1e-05	1e-05	1e-05	1e-05	0.0757071
GO:0000774	75.7606	58.7978	40.7071	68.8548	55.9641	28.5844
GO:0000906	139.034	158.846	220.182	34.9726	68.698	8.56327
GO:0000908	1e-05	1e-05	1e-05	1e-05	1e-05	0.0692422
GO:0000986	0.181971	1e-05	1e-05	0.668882	1e-05	0.149834
GO:0000987	1e-05	1e-05	1e-05	0.261482	1e-05	0.905059
GO:0001046	1e-05	1e-05	1e-05	0.261482	1e-05	1e-05
GO:0001047	1e-05	1e-05	1e-05	1e-05	1e-05	0.0604685
GO:0001071	1e-05	1e-05	1e-05	1e-05	1e-05	0.175378
GO:0001141	0.0693346	1e-05	1e-05	0.096708	1e-05	0.05675
GO:0001671	1e-05	1e-05	1e-05	1e-05	1e-05	0.0933276
GO:0001727	1e-05	1e-05	1e-05	0.300724	1e-05	1e-05
GO:0002161	215.155	249.055	240.741	136.511	160.214	166.763
GO:0002935	33.2572	31.5624	33.2804	8.76191	11.4019	1.7819
GO:0003676	1797.61	1624.62	1956.97	765.785	952.349	426.432
GO:0003677	13105.3	10927.4	11238.7	6810.64	8558.09	3409.82
GO:0003678	49.3182	62.6454	68.6089	15.4146	22.9156	15.5995
GO:0003684	340.72	326.323	323.345	239.93	227.423	99.057
GO:0003688	28.9412	31.0386	24.5391	35.2201	28.7931	14.7935
GO:0003689	0.179513	1e-05	0.199036	0.305686	0.741224	0.283823
GO:0003690	162.839	126.758	127.157	50.944	69.1489	18.1782
GO:0003697	709.364	793.898	867.273	313.188	384.875	247.925
GO:0003700	2758.4	2382.33	2457.29	1412.67	1497.58	644.52
GO:0003723	4191.3	3956.09	4052.01	1872.97	2082.17	1277.74
GO:0003725	59.8513	52.1039	49.7842	22.1506	33.4815	11.6965
GO:0003729	151.556	219.958	231.6	38.3799	68.476	86.582
GO:0003735	37654.3	33481.8	34605.5	10951.1	16703.6	8229.72
GO:0003743	615.502	534.449	537.462	255.318	285.346	205.112
GO:0003746	2119.63	2178.25	2270.08	923.849	1109.04	775.748
GO:0003755	343.008	311.732	349.05	106.437	140.255	28.2401
GO:0003756	1e-05	1e-05	1e-05	1e-05	1e-05	0.0814186
GO:0003774	330.471	413.752	457.11	47.2098	61.3966	16.2424
GO:0003796	0.0966933	1e-05	1e-05	1e-05	1e-05	0.145265
GO:0003824	2406.11	2502.15	2668.6	1318.74	1503.87	699.197
GO:0003825	0.0482173	1e-05	0.0741876	1e-05	0.139181	0.162546
GO:0003839	0.915255	0.477746	1.48547	1.69992	1.46588	1e-05
GO:0003840	1e-05	1e-05	1e-05	1e-05	1e-05	0.0455458
GO:0003841	121.998	110.111	116.149	28.0874	47.2479	5.997
GO:0003842	4.34188	3.206	2.55001	8.30773	7.17812	8.85997
GO:0003844	28.5431	28.2393	25.4212	3.84514	4.09104	1.36577
GO:0003848	25.2294	24.0066	32.4157	9.93977	13.559	4.28636
GO:0003849	55.465	45.198	51.4121	32.7505	33.5688	4.18625
GO:0003852	33.2226	40.8152	51.4319	17.482	21.0982	5.77365
GO:0003855	19.5741	16.335	17.0606	4.24162	8.26109	1.7619
GO:0003856	30.753	42.1504	61.6524	9.45835	18.1819	2.023
GO:0003857	0.0158461	1e-05	1e-05	1e-05	1e-05	0.172705
GO:0003861	61.9517	109.228	155.069	32.7989	50.8153	5.11868
GO:0003862	32.7794	42.2949	56.3702	10.3715	16.5553	3.44379
GO:0003863	1.69925	3.02157	3.46147	14.7641	6.9546	142.466
GO:0003864	29.5198	29.2347	24.7533	18.6951	17.4858	32.1491
GO:0003866	140.053	144.795	144.925	52.7328	54.9409	12.841
GO:0003867	1e-05	1e-05	1e-05	0.079748	1e-05	0.0217764
GO:0003871	0.238726	0.0837516	0.0640157	0.0580519	0.120138	0.0427751
GO:0003872	447.485	655.397	632.778	315.56	427.652	246.242
GO:0003879	1.29614	1.15314	4.46076	1.07263	0.569185	3.47225
GO:0003882	1e-05	1e-05	1e-05	1e-05	1e-05	0.0402961
GO:0003883	66.9073	86.6934	76.3557	43.9147	48.9384	85.0452
GO:0003886	1e-05	1e-05	1e-05	0.14213	1e-05	1e-05
GO:0003887	374.082	360.568	367.603	249.633	251.833	208.94
GO:0003896	163.844	154.94	174.967	60.9245	71.8558	31.9117
GO:0003899	520.565	573.32	620.194	219.41	286.284	315.524
GO:0003904	1e-05	0.0730737	1e-05	0.151828	0.196403	0.265935
GO:0003906	180.632	116.585	112.263	64.016	57.4055	43.758
GO:0003908	5.54017	3.04457	5.81001	2.62726	1.01576	1e-05
GO:0003909	1e-05	1e-05	1e-05	0.33505	1e-05	0.090241
GO:0003910	0.126316	0.0847716	0.145714	0.117502	0.060769	0.110778
GO:0003911	29.0036	27.3688	25.2956	12.25	13.9555	11.2177
GO:0003917	62.5986	68.563	66.8139	22.6093	31.9729	25.3989
GO:0003918	136.825	141.39	149.002	72.4523	79.4752	51.9641
GO:0003919	49.7851	46.7158	53.9423	21.7148	25.8023	13.7662
GO:0003922	84.3984	105.863	109.841	43.3631	57.3625	55.8796
GO:0003924	1667.25	1842.85	2022.53	623.205	833.978	516.442
GO:0003933	0.801358	0.671163	0.614964	0.0558868	1e-05	0.0602254
GO:0003934	84.8721	80.2505	81.2648	39.3276	54.1174	23.8375
GO:0003935	26.5774	30.5943	36.0382	9.7049	14.1421	2.5136
GO:0003937	16.8718	28.0121	36.5795	2.16578	2.87719	1.77714
GO:0003938	125.963	159.396	142.423	77.2617	98.2007	76.3286
GO:0003939	38.7121	23.4366	21.2411	11.3134	14.1858	1.04194
GO:0003941	1e-05	1e-05	1e-05	0.127967	1e-05	0.311432
GO:0003942	31.0709	30.8451	34.818	11.4758	9.99179	3.32244
GO:0003949	46.7054	53.322	56.8811	14.147	15.8037	9.34921
GO:0003951	161.323	128.384	124.413	71.8881	86.9837	38.0711
GO:0003952	58.1782	61.0458	57.6419	67.867	71.3757	108.632
GO:0003954	31.5373	21.1058	15.0276	39.1071	53.0885	16.142
GO:0003957	0.0517099	1e-05	1e-05	0.07208	1e-05	0.0953691
GO:0003960	1e-05	1e-05	1e-05	1e-05	1e-05	0.0582811
GO:0003961	19.0933	26.6286	35.8223	9.78537	11.5092	1.46716
GO:0003962	1e-05	1e-05	1e-05	1e-05	1e-05	0.0480734
GO:0003963	0.112022	0.175555	0.345421	0.208752	0.216099	0.281003
GO:0003977	104.702	129.738	131.475	39.6301	49.9847	23.5292
GO:0003978	57.7405	55.1477	47.0642	23.1202	27.4436	2.80024
GO:0003979	28.7812	27.1053	29.3526	7.76041	9.02206	2.85264
GO:0003983	50.4016	36.3595	40.7912	10.0443	17.7693	3.41416
GO:0003984	134.24	186.901	226.939	56.9879	82.7444	12.547
GO:0003985	1.57853	2.2474	2.25821	2.51143	2.18932	26.0746
GO:0003987	0.431271	1e-05	0.461639	0.128914	0.603863	0.383591
GO:0003988	0.0626728	1e-05	1e-05	0.0881829	1e-05	0.0471013
GO:0003989	56.9319	85.102	99.6685	28.977	46.0647	42.5974
GO:0003991	6.24664	5.11625	12.1275	3.07382	2.99197	0.871981
GO:0003992	6.43101	7.58762	18.3242	1.84282	3.50888	1.36353
GO:0003993	73.7884	58.2092	67.0532	22.903	21.6924	20.2842
GO:0003994	26.7353	26.7358	26.4564	13.5628	12.6957	1.11551
GO:0003995	0.315563	1e-05	1e-05	0.0908442	1e-05	0.178829
GO:0003999	109.704	105.061	100.811	56.7846	84.4916	88.2354
GO:0004000	1e-05	1e-05	1e-05	1e-05	1e-05	0.028533
GO:0004003	111.02	101.29	105.668	45.9459	49.5754	21.3563
GO:0004004	0.1496	1e-05	1e-05	0.14619	1e-05	0.160625
GO:0004008	6.52706	3.93105	2.63258	12.8348	6.27298	15.9607
GO:0004013	89.4905	115.536	107.921	38.2366	44.5623	21.1712
GO:0004014	1032.77	738.062	727.63	237.286	260.647	109.31
GO:0004015	0.501964	0.726831	0.710987	0.488592	0.0762647	0.10441
GO:0004016	0.0269706	1e-05	1e-05	1e-05	1e-05	1e-05
GO:0004017	57.0135	64.3065	99.7536	19.5207	24.1066	53.9055
GO:0004018	55.8304	53.1651	57.9401	16.5587	23.2638	7.46453
GO:0004019	103.879	129.331	112.152	38.9489	42.6664	32.5895
GO:0004020	41.2491	53.4032	73.8219	16.2624	27.1204	0.225858
GO:0004021	1e-05	1e-05	1e-05	1e-05	1e-05	0.0446465
GO:0004022	34.2944	65.9282	72.5495	9.79498	16.1959	0.750704
GO:0004029	4.34188	3.206	2.55001	8.50823	7.17812	9.20205
GO:0004030	7.20601	6.99288	7.42607	1.49279	2.94146	0.229819
