id	name	namespace	T4_mean	T4A	T4B	T4C	T4A_n_peptide	T4B_n_peptide	T4C_n_peptide	T4A_n_samp_children	T4B_n_samp_children	T4C_n_samp_children
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	-3.2954325382862115	-4.242179308691169	-2.2373127169873217	-4.621033888427481	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000030	mannosyltransferase activity	molecular_function	4.328027401616446	4.1281201484077625	4.342177809227257	4.490929475913436	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000034	adenine deaminase activity	molecular_function	-2.696344626860816	-1.6959936976943013	-3.274403665504946	-4.297341747450411	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000036	acyl carrier activity	molecular_function	8.969506441132959	9.122804704475517	8.674164014355371	9.071172721840009	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000049	tRNA binding	molecular_function	11.141359981959793	11.107929745229457	11.093727859011574	11.219126158828132	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000062	fatty-acyl-CoA binding	molecular_function	-16.609640474436812	-16.609640474436812	-16.609640474436812	-16.609640474436812	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	5.879788254978784	5.7000540231070875	6.0303294564385	5.890064809502947	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	8.181935730284629	8.062488730229331	8.219633206435974	8.256421007414655	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000156	phosphorelay response regulator activity	molecular_function	6.399779495652338	6.3903013942560545	6.3664428709672976	6.441569794358469	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000166	nucleotide binding	molecular_function	14.558558943066574	14.510862721777553	14.573934898305756	14.589679096646552	16.0	16.0	16.0	6.0	6.0	6.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	6.631042664736423	6.60689818036852	6.689508839344616	6.594869477670487	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	4.289013065500584	4.30225323973991	4.293318979484466	4.2712912015640105	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000213	tRNA-intron endonuclease activity	molecular_function	-2.671532680132081	-16.609640474436812	-4.063915785275389	-1.2825159308186262	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000286	alanine dehydrogenase activity	molecular_function	-3.913512591863714	-3.749579720492525	-3.003154291711014	-16.609640474436812	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000287	magnesium ion binding	molecular_function	11.443155946069824	11.384956388384865	11.438454006187431	11.503607131276507	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	-3.119240823755969	-2.0854599680886468	-3.189403894273895	-16.609640474436812	1.0	1.0	1.0	0.0	0.0	0.0
