id	name	namespace	T4_mean	T7_mean	T4A	T4B	T4C	T7A	T7B	T7C	T4A_n_peptide	T4B_n_peptide	T4C_n_peptide	T7A_n_peptide	T7B_n_peptide	T7C_n_peptide	T4A_n_samp_children	T4B_n_samp_children	T4C_n_samp_children	T7A_n_samp_children	T7B_n_samp_children	T7C_n_samp_children
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	-3.2954325382862115	-1.6076869740128263	-4.242179308691169	-2.2373127169873217	-4.621033888427481	-1.4424850171052679	-1.127878876179041	-2.654253922742788	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000030	mannosyltransferase activity	molecular_function	4.328027401616446	1.6897002261949796	4.1281201484077625	4.342177809227257	4.490929475913436	1.463470751427843	2.132310322504191	1.3424352744587016	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000034	adenine deaminase activity	molecular_function	-2.696344626860816	-2.409428957664274	-1.6959936976943013	-3.274403665504946	-4.297341747450411	-1.8688267250713793	-2.974466527761888	-2.6111998925007667	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000036	acyl carrier activity	molecular_function	8.969506441132959	6.3923414674957355	9.122804704475517	8.674164014355371	9.071172721840009	6.167090930582045	7.0947744460119475	5.441433680247432	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000049	tRNA binding	molecular_function	11.141359981959793	9.61043062406998	11.107929745229457	11.093727859011574	11.219126158828132	9.497630327347192	9.943064208162003	9.316892426171496	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000062	fatty-acyl-CoA binding	molecular_function	-16.609640474436812	-4.561628219367899	-16.609640474436812	-16.609640474436812	-16.609640474436812	-4.031168713240699	-16.609640474436812	-3.924366058574432	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	5.879788254978784	3.895823823568222	5.7000540231070875	6.0303294564385	5.890064809502947	3.653575992208636	4.478098160156256	3.2905910178535573	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	8.181935730284629	6.777398234937503	8.062488730229331	8.219633206435974	8.256421007414655	6.9587035018063865	7.054316699872098	6.165833573149141	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000156	phosphorelay response regulator activity	molecular_function	6.399779495652338	2.9379469587418003	6.3903013942560545	6.3664428709672976	6.441569794358469	3.3103619353923954	3.1905358495552485	1.97817732125278	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000166	nucleotide binding	molecular_function	14.558558943066574	13.546896278934312	14.510862721777553	14.573934898305756	14.589679096646552	13.65819165540138	13.751445760215859	13.165089551134626	16.0	16.0	16.0	16.0	16.0	16.0	6.0	6.0	6.0	6.0	6.0	6.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	6.631042664736423	5.776347049425521	6.60689818036852	6.689508839344616	6.594869477670487	5.848708060055144	6.1561033067521445	5.149169926041936	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	4.289013065500584	3.5247950377480906	4.30225323973991	4.293318979484466	4.2712912015640105	3.334811373895893	3.6815617079354026	3.5371469436175693	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000213	tRNA-intron endonuclease activity	molecular_function	-2.671532680132081	-1.9434627126003476	-16.609640474436812	-4.063915785275389	-1.2825159308186262	-16.609640474436812	-0.9593263567088449	-1.912303630783384	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000286	alanine dehydrogenase activity	molecular_function	-3.913512591863714	-2.4810177703726835	-3.749579720492525	-3.003154291711014	-16.609640474436812	-3.2688862875750644	-1.6352796640273117	-3.162285993322329	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000287	magnesium ion binding	molecular_function	11.443155946069824	10.279345540322467	11.384956388384865	11.438454006187431	11.503607131276507	10.473523118434807	10.561526624136485	9.635255585809704	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
